timestamp,active,P,T,Cs
1745930293982,0,0.200,10,5
1745930294976,0,0.200,10,5
1745930295982,0,0.200,10,5
1745930296974,0,0.200,10,5
1745930297983,0,0.200,10,5
1745930298981,0,0.200,10,5
1745930299975,0,0.200,10,5
1745930300985,0,0.200,10,5
1745930301977,0,0.200,10,5
1745930302973,0,0.200,10,5
1745930303986,0,0.200,10,5
1745930304981,0,0.200,10,5
1745930305974,0,0.200,10,5
1745930306976,0,0.200,10,5
1745930307978,0,0.200,10,5
1745930308978,0,0.200,10,5
1745930309981,0,0.200,10,5
1745930310980,0,0.200,10,5
1745930311981,0,0.200,10,5
1745930312981,0,0.200,10,5
1745930313974,0,0.200,10,5
1745930314975,0,0.200,10,5
1745930315975,0,0.200,10,5
1745930316985,0,0.200,10,5
1745930317985,0,0.200,10,5
1745930318973,0,0.200,10,5
1745930319981,0,0.200,10,5
1745930320975,0,0.200,10,5
1745930321981,0,0.200,10,5
1745930322986,0,0.200,10,5
1745930323983,0,0.200,10,5
1745930324980,0,0.200,10,5
1745930325980,0,0.200,10,5
1745930326980,0,0.200,10,5
1745930327985,0,0.200,10,5
1745930328976,0,0.200,10,5
1745930329976,0,0.200,10,5
1745930330976,0,0.200,10,5
1745930331976,0,0.200,10,5
1745930332985,0,0.200,10,5
1745930333986,0,0.200,10,5
1745930334988,0,0.200,10,5
1745930335973,0,0.200,10,5
1745930336982,0,0.200,10,5
1745930337980,0,0.200,10,5
1745930338981,0,0.200,10,5
1745930339983,0,0.200,10,5
1745930340974,0,0.200,10,5
1745930341980,0,0.200,10,5
1745930342976,0,0.200,10,5
1745930343983,0,0.200,10,5
1745930344980,0,0.200,10,5
1745930345977,0,0.200,10,5
1745930346973,0,0.200,10,5
1745930347974,0,0.200,10,5
1745930348988,0,0.200,10,5
1745930349987,0,0.200,10,5
1745930350985,0,0.200,10,5
1745930351982,0,0.200,10,5
1745930352982,0,0.200,10,5
1745930353980,0,0.200,10,5
1745930354979,0,0.200,10,5
1745930355974,0,0.200,10,5
1745930356987,0,0.200,10,5
1745930357986,0,0.200,10,5
1745930358986,0,0.200,10,5
1745930359985,0,0.200,10,5
1745930360982,0,0.200,10,5
1745930361985,0,0.200,10,5
1745930362975,0,0.200,10,5
1745930363977,0,0.200,10,5
1745930364979,0,0.200,10,5
1745930365982,0,0.200,10,5
1745930366986,0,0.200,10,5
1745930367974,0,0.200,10,5
1745930368978,0,0.200,10,5
1745930369982,0,0.200,10,5
1745930370974,0,0.200,10,5
1745930371983,0,0.200,10,5
1745930372973,0,0.200,10,5
1745930373987,0,0.200,10,5
1745930374988,0,0.200,10,5
1745930375986,0,0.200,10,5
1745930376984,0,0.200,10,5
1745930377974,0,0.200,10,5
1745930378987,0,0.200,10,5
1745930379976,0,0.200,10,5
1745930380974,0,0.200,10,5
1745930381978,0,0.200,10,5
1745930382981,0,0.200,10,5
1745930383979,0,0.200,10,5
1745930384984,0,0.200,10,5
1745930385985,0,0.200,10,5
1745930386981,0,0.200,10,5
1745930387980,0,0.200,10,5
1745930388979,0,0.200,10,5
1745930389979,0,0.200,10,5
1745930390975,0,0.200,10,5
1745930391981,0,0.200,10,5
1745930392980,0,0.200,10,5
1745930393976,0,0.200,10,5
1745930394974,0,0.200,10,5
1745930395984,0,0.200,10,5
1745930396976,0,0.200,10,5
1745930397987,0,0.200,10,5
1745930398983,0,0.200,10,5
1745930399983,0,0.200,10,5
1745930400979,0,0.200,10,5
1745930401982,0,0.200,10,5
1745930402979,0,0.200,10,5
1745930403978,0,0.200,10,5
1745930404976,0,0.200,10,5
1745930405974,0,0.200,10,5
1745930406987,0,0.200,10,5
1745930407988,0,0.200,10,5
1745930408986,0,0.200,10,5
1745930409985,0,0.200,10,5
